GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Atv1,com.acme.credvarejo.cliente,Cpf,26,264,5,45,6,49,6,25,1,5
Atv1,com.acme.credvarejo.cliente,ControladorCliente,40,15,5,1,13,7,7,2,4,2
Atv1,com.acme.credvarejo.cliente,Cliente,42,138,9,13,16,34,20,11,11,9
Atv1,com.acme.credvarejo.contaCrediario,ContaCrediarioEspecial,7,134,0,6,3,34,2,9,2,6
Atv1,com.acme.credvarejo.conta,MovimentoCrediario,56,68,6,4,16,12,10,5,7,3
Atv1,com.acme.credvarejo.conta,ControladorMovimentoCrediario,26,6,4,0,10,3,4,1,2,1
Atv1,com.acme.credvarejo.conta,MovimentoCrediarioCredito,0,6,0,0,0,2,0,1,0,1
Atv1,com.acme.credvarejo.conta,ContaCrediario,39,84,3,3,16,28,11,11,8,11
Atv1,com.acme.credvarejo.conta,IdentificadorContaCrediario,11,75,3,7,4,18,4,7,1,5
Atv1,com.acme.credvarejo.conta,ControladorContaCrediario,78,51,11,5,21,12,11,3,3,3
Atv1,com.acme.credvarejo.conta,MovimentoCrediarioDebito,6,0,0,0,2,0,1,0,1,0
Atv1,com.acme.credvarejo.classesGerais,Registro,4,3,0,0,2,2,1,1,1,1
Atv1,com.acme.credvarejo.classesGerais,Repositorios,33,31,0,0,9,9,6,3,6,3
Atv1,com.acme.credvarejo.classesGerais,RepositorioRegistro,157,23,22,2,29,8,16,2,4,2
Atv1,com.acme.credvarejo.ado.cliente,RepositorioCliente,7,186,4,20,2,38,4,14,0,6
Atv1,com.acme.credvarejo.ado.conta,RepositorioMovimentoCrediario,140,30,4,0,18,9,4,2,2,2
Atv1,com.acme.credvarejo.ado.conta,RepositorioContaCrediario,127,43,11,3,23,11,11,4,5,3
